utc,obssec,lat,long,altitude,vel_n(NED),vel_e(NED),vel_d(NED)
2026-02-06 11:20:0.827,472816.700000,33.598274120,73.138869270,432.649,0.004733,0.028486,0.014610
2026-02-06 11:20:1.017,472816.900000,33.598272430,73.138867730,432.835,0.031748,0.306517,-0.187903
2026-02-06 11:20:1.214,472817.100000,33.598269930,73.138868330,433.129,0.023252,0.002601,0.034858
2026-02-06 11:20:1.366,472817.200000,33.598267870,73.138867120,433.211,0.106210,0.024903,-0.240449
2026-02-06 11:20:1.557,472817.400000,33.598269280,73.138870200,433.415,-0.008442,-0.015096,-0.076426
2026-02-06 11:20:1.684,472817.600000,33.598267480,73.138873530,434.399,-0.031877,-0.068722,-0.162849
2026-02-06 11:20:1.874,472817.700000,33.598266400,73.138871080,435.276,-0.146435,-0.053653,-0.136019
2026-02-06 11:20:1.913,472817.800000,33.598264580,73.138868240,436.038,0.021537,0.102549,-0.089769
2026-02-06 11:20:2.082,472818.000000,33.598264810,73.138872840,435.699,0.035470,-0.066714,0.351472
2026-02-06 11:20:2.194,472818.100000,33.598263780,73.138870910,435.995,-0.118850,-0.394111,0.112976
2026-02-06 11:20:2.305,472818.200000,33.598262260,73.138868110,436.014,0.025179,0.305212,0.283121
2026-02-06 11:20:2.400,472818.300000,33.598262510,73.138867760,435.785,-0.031023,-0.250576,-0.255749
2026-02-06 11:20:2.599,472818.500000,33.598263980,73.138870870,435.501,-0.129258,-0.149497,-0.014307
2026-02-06 11:20:2.765,472818.600000,33.598264870,73.138873110,435.619,0.139334,0.225952,-0.045156
2026-02-06 11:20:3.001,472818.900000,33.598265420,73.138879000,435.223,0.002047,0.050306,0.059735
2026-02-06 11:20:3.185,472819.100000,33.598266750,73.138879050,435.178,-0.146287,-0.036092,-0.068685
2026-02-06 11:20:3.373,472819.200000,33.598267360,73.138879500,434.992,0.089558,-0.030158,0.502999
2026-02-06 11:20:3.558,472819.400000,33.598271210,73.138884800,434.795,0.002069,0.158816,-0.227581
2026-02-06 11:20:3.691,472819.500000,33.598273400,73.138886190,434.489,-0.116990,0.115339,0.063263
2026-02-06 11:20:3.883,472819.800000,33.598276900,73.138886110,434.689,0.097714,0.193687,-0.045360
2026-02-06 11:20:4.090,472820.000000,33.598277330,73.138886280,434.710,0.209860,-0.136220,0.469413
2026-02-06 11:20:4.248,472820.100000,33.598279050,73.138889630,434.454,-0.003465,-0.300741,-0.176898
2026-02-06 11:20:4.440,472820.300000,33.598279850,73.138892910,434.382,-0.085398,-0.057810,-0.476164
2026-02-06 11:20:4.599,472820.500000,33.598278170,73.138893400,434.458,-0.057869,-0.039577,-0.148699
